start_row,end_row,match_length,a_count,b_count,c_count
19933,19935,3,2,0,1
19962,19963,2,1,0,1
19964,19968,5,4,0,1
19973,19974,2,1,0,1
19990,19993,4,1,2,1
20002,20003,2,1,0,1
20005,20008,4,2,1,1
20022,20023,2,1,0,1
20040,20041,2,1,0,1
20055,20057,3,1,1,1
20075,20076,2,1,0,1
20214,20216,3,2,0,1
20231,20237,7,3,3,1
20243,20245,3,2,0,1
20293,20295,3,2,0,1
20330,20331,2,1,0,1
20367,20371,5,2,2,1
20379,20384,6,5,0,1
20417,20419,3,2,0,1
20432,20435,4,1,2,1
20468,20470,3,2,0,1
20484,20486,3,2,0,1
20497,20502,6,3,1,2
20503,20505,3,1,1,1
20520,20521,2,1,0,1
20582,20585,4,3,0,1
20594,20595,2,1,0,1
20646,20647,2,1,0,1
20654,20656,3,1,1,1
20680,20681,2,1,0,1
20735,20737,3,2,0,1
20738,20739,2,1,0,1
20757,20760,4,2,1,1
20771,20774,4,3,0,1
20777,20779,3,2,0,1
20782,20784,3,1,1,1
20789,20792,4,2,1,1
20812,20815,4,1,2,1
20816,20817,2,1,0,1
20872,20873,2,1,0,1
20889,20891,3,1,1,1
20900,20902,3,1,1,1
20911,20918,8,5,2,1
20937,20938,2,1,0,1
20968,20969,2,1,0,1
20972,20975,4,2,1,1
21012,21014,3,2,0,1
21025,21030,6,2,3,1
21048,21053,6,5,0,1
21054,21057,4,3,0,1
21068,21072,5,2,2,1
21086,21089,4,3,0,1
21112,21115,4,1,2,1
21122,21124,3,2,0,1
21157,21158,2,1,0,1
21178,21180,3,2,0,1
21185,21187,3,2,0,1
21199,21201,3,1,1,1
21215,21216,2,1,0,1
21239,21243,5,4,0,1
21252,21255,4,2,1,1
21256,21259,4,2,1,1
21260,21262,3,2,0,1
21295,21297,3,1,1,1
21311,21315,5,2,2,1
21340,21342,3,2,0,1
21357,21362,6,3,2,1
21387,21390,4,1,2,1
21393,21395,3,1,1,1
21438,21443,6,1,3,2
21460,21462,3,2,0,1
21480,21482,3,2,0,1
21486,21488,3,2,0,1
21493,21498,6,2,3,1
21542,21544,3,2,0,1
21545,21548,4,1,2,1
21551,21553,3,1,1,1
21559,21561,3,2,0,1
21563,21564,2,1,0,1
21585,21589,5,2,2,1
21596,21598,3,2,0,1
21608,21613,6,5,0,1
21616,21621,6,2,3,1
21630,21633,4,2,0,2
21645,21647,3,2,0,1
21673,21675,3,2,0,1
21678,21682,5,2,2,1
21704,21707,4,2,1,1
21713,21714,2,1,0,1
21725,21727,3,2,0,1
21754,21757,4,2,0,2
21777,21779,3,2,0,1
21814,21815,2,1,0,1
21848,21849,2,1,0,1
21922,21923,2,1,0,1
21957,21962,6,5,0,1
21966,21971,6,5,0,1
21984,21985,2,1,0,1
21997,22000,4,2,0,2
22006,22009,4,3,0,1
22021,22022,2,1,0,1
22024,22027,4,3,0,1
22040,22043,4,3,0,1
22053,22055,3,1,1,1
22094,22095,2,1,0,1
22096,22097,2,1,0,1
22098,22100,3,1,1,1
22130,22132,3,1,1,1
22176,22178,3,2,0,1
22211,22213,3,1,0,2
22263,22268,6,1,4,1
22284,22285,2,1,0,1
22302,22304,3,1,1,1
22322,22323,2,1,0,1
22325,22328,4,2,1,1
22336,22339,4,2,1,1
22364,22368,5,2,2,1
22382,22383,2,1,0,1
22387,22390,4,1,2,1
22405,22407,3,2,0,1
22430,22434,5,2,2,1
22485,22487,3,1,0,2
22538,22541,4,3,0,1
22542,22547,6,5,0,1
22556,22565,10,3,5,2
22597,22600,4,1,2,1
22610,22613,4,2,1,1
22620,22627,8,3,4,1
22633,22635,3,1,1,1
22636,22637,2,1,0,1
22663,22665,3,1,1,1
22730,22732,3,2,0,1
22734,22735,2,1,0,1
22763,22769,7,2,4,1
22770,22774,5,3,1,1
22775,22776,2,1,0,1
22780,22781,2,1,0,1
22801,22804,4,3,0,1
22812,22816,5,4,0,1
22826,22830,5,4,0,1
22854,22858,5,2,1,2
22864,22866,3,2,0,1
22874,22875,2,1,0,1
22888,22893,6,5,0,1
22913,22914,2,1,0,1
22939,22943,5,2,1,2
22944,22950,7,5,1,1
22970,22972,3,2,0,1
22973,22978,6,4,1,1
22989,22992,4,2,0,2
23005,23009,5,2,2,1
23032,23033,2,1,0,1
23046,23052,7,5,1,1
23094,23097,4,2,1,1
23104,23105,2,1,0,1
23125,23127,3,2,0,1
23141,23142,2,1,0,1
23152,23154,3,1,0,2
23210,23212,3,2,0,1
23230,23232,3,2,0,1
23242,23243,2,1,0,1
23300,23301,2,1,0,1
23310,23312,3,2,0,1
